Feature,Rank,Title,Artist,Popularity,Feature_Score
Celebrate,4,taki taki,DJ Snake - Selena Gomez - Ozuna - Cardi B,30358.5,1.0
Celebrate,5,glorious,Macklemore - Skylar Grey,10770.15,1.0
Celebrate,6,i,Lil Skies,19666.60000000001,1.0
Celebrate,7,solo dance,Martin Jensen,10770.249999999996,1.0
Celebrate,8,supalonely,BENEE - Gus Dapperton,25425.45,1.0
Celebrate,9,something just like this,The Chainsmokers - Coldplay,39803.650000000016,1.0
Celebrate,10,arms around you,XXXTENTACION - Lil Pump - Swae Lee - Maluma,19187.700000000004,1.0
Desire,1,stuck with u,Ariana Grande - Justin Bieber,20727.45,1.0
Desire,2,mia,Bad Bunny - Drake,35113.75,1.0
Desire,3,bad at love,Halsey,28909.95,1.0
Desire,4,bodak yellow,Cardi B,11807.049999999996,1.0
Desire,5,love galore,SZA - Travis Scott,37614.5,1.0
Desire,6,im the one,DJ Khaled - Justin Bieber - Quavo - Chance the Rapper - Lil Wayne,12512.299999999996,1.0
Desire,7,whoa,XXXTENTACION,14408.8,1.0
Desire,8,bodak yellow,Cardi B,48382.59999999997,1.0
Desire,9,no limit,G-Eazy - A$AP Rocky - Cardi B,16584.800000000007,1.0
Desire,10,you should see me in a crown,Billie Eilish,15124.149999999998,1.0
Explore,1,righteous,Juice WRLD,11383.750000000002,1.0
Explore,2,high hopes,Panic! At The Disco,51281.19999999998,1.0
Explore,3,believer,Imagine Dragons,49956.70000000001,1.0
Explore,4,in your eyes,The Weeknd,17526.09999999999,1.0
Explore,5,natural,Imagine Dragons,14242.6,1.0
Explore,6,beautiful people,Ed Sheeran - Khalid,33409.849999999984,1.0
Explore,7,lovely,Billie Eilish - Khalid,79693.90000000005,1.0
Explore,8,heaven,Kane Brown,19482.550000000017,1.0
Explore,9,malibu,Miley Cyrus,14440.05,1.0
Explore,10,castle on the hill,Ed Sheeran,24202.25,1.0
Fun,1,party girl,StaySolidRocky,14481.15,1.0
Fun,2,paris,The Chainsmokers,30937.74999999997,1.0
Fun,3,roxanne,Arizona Zervas,72755.85000000005,1.0
Fun,4,flex,Polo G - Juice WRLD,20807.25,1.0
Fun,5,sky walker,Miguel - Travis Scott,25033.55,1.0
Fun,6,the git up,Blanco Brown,12150.749999999998,1.0
Fun,7,moves,Big Sean,23319.45,1.0
Fun,8,7 rings,Ariana Grande,64561.4,1.0
Fun,9,controlla,Drake,10532.65,1.0
Fun,10,greece,DJ Khaled - Drake,15784.5,1.0
Hope,1,psycho,Post Malone - Ty Dolla $ign,64523.95,1.0
Hope,2,never recover,Lil Baby - Gunna - Drake,21258.399999999987,1.0
